102	2040	546d1a0a.jpg	Ayakashi: Japanese Classic Horror		Ayakashi: Samurai Horror Tales	Serie	done	2006	11	Geistergeschichten, Horror	TV	0	Anime.Sub/Ayakashi Japanese Classic Horror	440
103	2126	546d1bdd.jpg	Ayashi no Ceres		Ceres, Celestial Legend	Serie	done	2000	24	Drama	TV	0	Anime.Sub/Ayashi no Ceres	418
104	1261	546d1d7d.jpg	Karakuri Zoushi Ayatsuri Sakon			Serie	done	1999	26	Krimi	TV	0	Anime.Sub/Ayatsuri Sakon	350
105	4016	546dda8d.jpg	Baccano!		Baccano!	Serie	done	2007	13	Action	TV	0	Anime.Sub/Baccano	455
106	4746	546fe41b.jpg	Baccano! OVA		Baccano! (Specials)	OVA	done	2008	3	Action	DVD	0	Anime.Sub/Baccano OVA	401
107	5927	546fe5de.jpg	B Gata H Kei	B Gata H Kei	Yamada's First Time: B Gata H Kei	Serie	done	2010	12	Komödie, Ecchi, Romantik	TV	0	Anime.Sub/B Gata H Kei	423
108	6634	546fe789.jpg	Baka to Test to Shoukanjuu: Matsuri		Baka and Test: Summon the Beasts OVA	OVA	done	2011	2	Romanze, Komödie, Schule	DVD	0	Anime.Sub/Baka to Test to Shoukanjuu Matsuri OVA [NG]	426
109	6299	546fe850.jpg	Baka to Test to Shoukanjuu Ni!		Baka and Test: Summon The Beasts Season 2	Serie	done	2011	13	Romanze, Komödie, Schule 	TV	0	Anime.Sub/Baka to Test to Shoukanjuu Ni!	440
110	5383	546feaba.jpg	Baka to Test to Shoukanjuu		Baka and Test: Summon the Beasts	Serie	done	2010	13	Romanze, Komödie, Schule 	TV	0	Anime.Sub/Baka to Test to Shoukanjuu [NG]	422
111	7527	546fec84.jpg	Bakemonogatari SP			Serie	done	2009	1	Drama	TV	0	Anime.Sub/Bakemonogatari Special	465
112	5027	546fee35.jpg	Bakemonogatari	Bakemonogatari	Bakemonogatari	Serie	done	2009	15	Fantasie, Romantik, Tsundere 	TV	0	Anime.Sub/Bakemonogatari	546
113	7461	546ff0eb.jpg	Bakuman. (2012)		Bakuman Season 3	Serie	done	2012	25	Mangazeichner, Schule 	TV	0	Anime.Sub/Bakuman S3	428
114	293	54725aba.jpg	Cosprayers			Serie	done	2004	8	Actionkomödie, Action, Ecchi, Komödie, Magical Girl,	TV	0	Anime.Sub/Cosprayers	400
115	3710	54725c01.jpg	Bakumatsu Kikansetsu Irohanihoheto		Intrigue in the Bakumatsu: Irohanihoheto	Serie	done	2006	26	Abenteuer, Action, Drama, Fantasy, Mystery, Krieg, Magie	TV	0	Anime.Sub/Bakumatsu Kikansetsu Irohanihoheto	374
116	4394	54725e32.jpg	Bamboo Blade		Bamboo Blade	Serie	done	2007	26	Ganbatte	TV	0	Anime.Sub/Bamboo Blade	397
117	3814	54726aff.jpg	Bartender			Serie	done	2006	11	Alltagsdrama	TV	0	Anime.Sub/Bartender	388
118	5802	54726bd2.jpg	Baton			Film	done	2009	3	Action	DVD	0	Anime.Sub/Baton	349
119	1967	54726c40.jpg	Battle Programmer SHIRASE			Serie	done	2003	5	Komödie	TV	0	Anime.Sub/Battle Programmer Shirase	349
120	6914	54726db9.jpg	Ben-To		Ben-To	Serie	done	2011	12	Komödie	TV	0	Anime.Sub/Ben-To	371
121	1679	547514d0.jpg	Beck		Beck: Mongolian Chop Squad	Serie	done	2004	26	Band, Musik, Rock	TV	0	Anime.Sub/Beck	358
122	4480	5475c2fb.jpg	Bihada Ichizoku			Serie	done	2008	12	Drama	TV	0	Anime.Sub/Bihada Ichizoku [C-Subs]	379
123	6485	54761b71.jpg	Beelzebub		Beelzebub	Serie	done	2011	60	Actionkomödie, Dämonen, Schule 	TV	0	Anime.Sub/Beelzebub	377
124	1526	54766030.jpg	Chobits [Deutsch]	Chobits	Chobits	Serie	licensed	2002	24	Romantische Komödie	BD	0	Anime Dub/Chobits ger mit sub	28
125	4803	547667c2.jpg	Chobits: Chibits - Sumomo & Kotoko Todokeru	Chibits: Sumomo und Kotoko liefern	Chibits: Sumomo and Kotoko Deliver	Serie	licensed	2003	1	Komödie	BD	0	Anime Dub/Chobits Chibits - Sumomo & Kotoko Todokeru ger	1
126	3665	5477adb1.jpg	Binbou Shimai Monogatari			Serie	done	2006	10	Alltagsdrama	TV	0	Anime.Sub/Binbou Shimai Monogatari	361
127	1534	5477b5ab.jpg	Binchou-tan		Bincho-tan	Serie	done	2006	12	Alltagsdrama	TV	0	Anime.Sub/Binchou-tan	404
128	4724	5478f5b5.jpg	Birdy the Mighty Decode		Birdy the Mighty: Decode	Serie	done	2008	13	Action, Comedy, Sci-Fi	Tv-Aufzeichnung	0	Anime.Sub/Birdy the Mighty Decode	404
129	5032	54791032.jpg	Birdy the Mighty Decode 2		Birdy the Mighty: Decode 2	Serie	done	2009	12	Action, Comedy, Sci-Fi	Tv-Aufzeichnung	0	Anime.Sub/Birdy the Mighty Decode II	386
130	2557	5479170a.jpg	Birdy the Mighty		Birdy the Mighty	OVA	done	1996	4	Action, Comedy, Sci-Fi	DvD-Rip	0	Anime.Sub/Birdy the Mighty OVA	402
131	7482	5479187e.jpg	Black Jack Final			OVA	done	2011	2	Krimi	DVD	0	Anime.Sub/Black Jack Final	889
132	5557	54791a04.jpg	Black Rock Shooter		Black Rock Shooter	OVA	done	2010	1	Drama	DVD	0	Anime.Sub/Black Rock Shooter - OVA	359
133	2561	547c725e.jpg	Air Gear [Deutsch]	Air Gear	Air Gear	Serie	licensed	2006	25	Ganbatte	TV	0	Anime Dub/Air Gear ger	270
134	4220	547cefd2.jpg	School Days		School Days	Serie	done	2007	12	Sentimentales Drama	TV	0	Anime.Sub/School Days	354
135	4817	548252a9.jpg	Mugen no Juunin		Blade of the Immortal	Serie	done	2008	13	Action	TV	0	Anime.Sub/Blade of the Immortal	346
136	3253	54825617.jpg	Blame!		Blame!	Serie	ongoing	2003	0	Action	TV	0	Anime.Sub/Blame!	348
137	8878	54835d50.jpg	No Game No Life [Liz Sub]	No Game No Life	No Game No Life	Serie	licensed	2014	12	 Abenteuer, Ecchi, Fantasy, Komödie, Magie	TV	0	Anime.Sub/No Game, No Life	123
